DEPTH,GR,NPHI,RHOB,RT,DT
2586.9900000000002,105.34,,,0.89,
2587.1424,104.5,,,1.08,
2587.2948,100.37,,,0.99,
2587.4472,96.17,,,0.68,
2587.5996,94.01,,,0.71,
2587.752,91.85,,,0.98,
2587.9044000000004,92.77,,,0.9,
2588.0568000000003,92.52,,,0.95,
2588.2092000000002,96.64,,,0.98,
2588.3616,97.32,,,0.97,
2588.514,98.13,,,0.89,
2588.6664,92.91,,,0.55,
2588.8188,88.03,,,0.5,
2588.9712,85.23,,,0.8,
2589.1236000000004,86.8,,,0.59,
2589.2760000000003,89.24,,,0.5,
2589.4284000000002,86.74,,,0.74,
2589.5808,84.97,,,0.91,
2589.7332,81.44,,,1.3,
2589.8856,79.84,,,1.25,
2590.038,83.21,,,0.77,
2590.1904,88.51,,,0.57,
2590.3428000000004,94.32,,,0.67,
2590.4952000000003,94.68,,,0.85,
2590.6476000000002,95.24,,,0.95,
2590.8,97.01,,,0.69,
2590.9524,96.73,,,0.8,
2591.1048,98.44,,,0.87,
2591.2572,98.8,,,0.97,
2591.4096,98.52,,,1.05,
2591.5620000000004,97.49,,,1.02,
2591.7144000000003,102.25,,,0.78,
2591.8668000000002,101.78,,,0.57,
2592.0192,100.94,,,0.55,
2592.1716,92.8,,,0.54,
2592.324,85.62,,,0.69,
2592.4764,72.15,,,1.05,
2592.6288,60.37,,,1.33,
2592.7812000000004,53.25,,,1.23,
2592.9336000000003,56.98,,,1.28,
2593.0860000000002,64.83,,,0.96,
2593.2384,81.1,,,0.68,
2593.3908,88.51,,,0.83,
2593.5432,93.28,,,0.77,
2593.6956,86.66,,,0.75,
2593.848,86.94,,,0.65,
2594.0004000000004,88.34,,,0.8,
2594.1528000000003,92.46,,,0.88,
2594.3052000000002,85.34,,,0.93,
2594.4576,73.28,,,1.51,
2594.61,65.39,,,2.24,
2594.7624,71.12,,,1.1,
2594.9148,79.17,,,0.57,
2595.0672,87.89,,,0.56,
2595.2196000000004,79.19,,,0.58,
2595.3720000000003,74.79,,,0.94,
2595.5244000000002,66.63,,,1.08,
2595.6768,67.92,,,0.7,
2595.8292,68.96,,,0.74,
2595.9816,72.15,,,0.82,
2596.134,77.57,,,0.85,
2596.2864,78.02,,,0.88,
2596.4388000000004,76.89,,,0.78,
2596.5912000000003,75.88,,,0.78,
2596.7436000000002,77.96,,,0.76,
2596.896,82.34,,,0.75,
2597.0484,84.02,,,0.74,
2597.2008,84.5,,,0.78,
2597.3532,81.24,,,0.74,
2597.5056,73.39,,,0.8,
2597.6580000000004,71.79,,,0.78,
2597.8104000000003,69.63,,,0.83,
2597.9628000000002,77.96,,,0.75,
2598.1152,80.96,,,0.72,
2598.2676,86.21,,,0.65,
2598.42,88.62,,,0.74,
2598.5724,93.92,,,1.17,
2598.7248,98.69,,,1.17,
2598.8772000000004,101.33,,,0.88,
2599.0296000000003,94.99,,,0.63,
2599.1820000000002,87.58,,,0.75,
2599.3344,85.59,,,0.89,
2599.4868,85.23,,,0.71,
2599.6392,85.23,,,1.34,
2599.7916,81.97,,,1.54,
2599.944,83.54,,,0.99,
2600.0964000000004,84.5,,,1.17,
2600.2488000000003,82.98,,,0.92,
2600.4012000000002,79.7,,,1.06,
2600.5536,78.86,,,1.05,
