DEPTH,GR,NPHI,RHOB,RT,DT,PEF
204.3684,13.981,,,,,
204.5208,13.637,,,,,
204.6732,15.351,,,,,
204.8256,17.065,,,,,
204.978,18.779,,,,,
205.1304,19.423,,,,,
205.2828,19.887,,,,,
205.4352,20.351,,,,,
205.5876,22.77,,,,,
205.74,26.636,,,,,
205.8924,30.503,,,,,
206.0448,33.323,,,,,
206.1972,33.632,,,,,
206.3496,33.942,,,,,
206.502,34.275,,,,,
206.6544,36.414,,,,,
206.8068,38.554,,,,,
206.9592,40.693,,,,,
207.1116,42.473,,,,,
207.264,44.123,,,,,
207.4164,45.772,,,,,
207.5688,46.44,,,,,
207.7212,45.913,,,,,
207.8736,45.386,,,,,
208.026,45.258,,,,,
208.1784,47.07,,,,,
208.3308,48.883,,,,,
208.4832,50.695,,,,,
208.6356,52.056,,,,,
208.788,53.361,,,,,
208.9404,54.666,,,,,
209.0928,55.372,,,,,
209.2452,55.694,,,,,
209.3976,56.016,,,,,
209.55,56.067,,,,,
209.7024,55.564,,,,,
209.8548,55.06,,,,,
210.0072,54.343,,,,,
210.1596,49.305,,,,,
210.312,44.267,,,,,
210.4644,39.229,,,,,
210.6168,35.208,,,,,
210.7692,31.496,,,,,
210.9216,27.785,,,,,
211.074,27.039,,,,,
211.2264,29.436,,,,,
211.3788,31.833,,,,,
211.5312,32.708,,,,,
211.6836,27.669,,,,,
211.836,22.631,,,,,
211.9884,17.592,,,,,
212.1408,17.78,,,,,
212.2932,18.398,,,,,
212.4456,19.017,,,,,
212.598,23.08,,,,,
212.7504,29.057,,,,,
212.9028,35.033,,,,,
213.0552,37.987,,,,,
213.2076,35.619,,,,,
213.36,33.251,,,,,
213.5124,31.425,,,,,
213.6648,35.717,,,,,
213.8172,40.008,,,,,
213.9696,44.299,,,,,
214.122,39.275,,,,,
214.2744,31.929,,,,,
214.42680000000001,24.583,,,,,
214.57920000000001,20.583,,,,,
214.73160000000001,19.675,,,,,
214.88400000000001,18.766,,,,,
215.03640000000001,18.724,,,,,
215.18880000000001,21.442,,,,,
215.34120000000001,24.16,,,,,
215.49360000000001,26.879,,,,,
215.64600000000002,36.765,,,,,
215.79840000000002,46.966,,,,,
215.95080000000002,57.167,,,,,
216.10320000000002,61.333,,,,,
216.25560000000002,62.622,,,,,
216.40800000000002,63.911,,,,,
216.56040000000002,64.382,,,,,
216.71280000000002,63.609,,,,,
216.86520000000002,62.835,,,,,
217.01760000000002,61.864,,,,,
217.17000000000002,59.375,,,,,
217.32240000000002,56.887,,,,,
217.47480000000002,54.398,,,,,
217.62720000000002,48.352,,,,,
217.77960000000002,41.6,,,,,
217.93200000000002,34.849,,,,,
218.08440000000002,28.797,,,,,
218.23680000000002,23.307,,,,,
218.38920000000002,17.817,,,,,
218.54160000000002,14.891,,,,,
218.69400000000002,18.796,,,,,
218.84640000000002,22.701,,,,,
218.99880000000002,26.605,,,,,
219.15120000000002,29.551,,,,,
219.30360000000002,32.49,,,,,
219.45600000000002,35.428,,,,,
219.60840000000002,41.457,,,,,
219.76080000000002,48.739,,,,,
219.91320000000002,56.022,,,,,
220.06560000000002,57.135,,,,,
220.21800000000002,50.084,,,,,
220.37040000000002,43.033,,,,,
220.52280000000002,37.403,,,,,
220.67520000000002,39.852,,,,,
220.82760000000002,42.301,,,,,
220.98000000000002,44.749,,,,,
