DEPTH,GR,NPHI,RHOB,RT,DT
210.1,16.401,,,0.4,0.0
210.2,16.899,,,0.4,0.0
210.3,16.594,,,0.3,0.0
210.4,14.597,,,0.4,0.0
210.5,13.602,,,0.5,0.0
210.6,14.403,,,0.4,0.0
210.7,15.404,,,0.4,0.0
210.8,16.901,,,0.4,0.0
210.9,17.302,,,0.4,0.0
211.0,18.001,,,0.5,0.0
211.1,18.197,,,0.6,0.0
211.2,16.996,,,0.4,0.0
211.3,15.496,,,0.4,0.0
211.4,13.898,,,0.3,0.0
211.5,13.097,,,0.5,0.0
211.6,12.1,,,0.3,0.0
211.7,12.096,,,0.2,0.0
211.8,10.601,,,0.2,0.0
211.9,10.9,,,0.2,0.0
212.0,10.898,,,0.4,0.0
212.1,10.301,,,0.7,0.0
212.2,10.701,,,0.8,0.0
212.3,11.2,,,0.9,0.0
212.4,11.199,,,0.9,0.0
212.5,10.801,,,0.8,0.0
212.6,11.2,,,0.8,0.0
212.7,11.099,,,0.6,0.0
212.8,10.701,,,0.6,0.0
212.9,11.097,,,0.8,0.0
213.0,9.999,,,0.7,0.0
213.1,9.799,,,0.8,0.0
213.2,9.6,,,0.9,0.0
213.3,9.501,,,1.1,0.0
213.4,9.8,,,1.0,0.0
213.5,9.9,,,0.7,0.0
213.6,9.9,,,0.5,0.0
213.7,9.898,,,0.4,0.0
213.8,9.198,,,0.3,0.0
213.9,8.399,,,0.3,0.0
214.0,8.001,,,0.3,0.0
214.1,8.399,,,0.3,0.0
214.2,8.199,,,0.3,0.0
214.3,7.8,,,0.4,0.0
214.4,7.899,,,0.4,0.0
214.5,7.702,,,0.3,0.0
214.6,8.303,,,0.3,0.0
214.7,9.301,,,0.3,0.0
214.8,9.702,,,0.4,0.0
214.9,10.299,,,0.3,0.0
215.0,9.901,,,0.3,0.0
215.1,10.097,,,0.3,0.0
215.2,9.098,,,0.3,0.0
215.3,8.504,,,0.4,0.0
215.4,9.803,,,0.4,0.0
215.5,10.8,,,0.4,0.0
215.6,10.7,,,0.4,0.0
215.7,10.599,,,0.4,0.0
215.8,10.399,,,0.4,0.0
215.9,10.199,,,0.4,0.0
216.0,9.799,,,0.3,0.0
216.1,9.599,,,0.4,0.0
216.2,9.299,,,0.4,0.0
216.3,8.799,,,0.4,0.0
216.4,8.599,,,0.4,0.0
216.5,8.399,,,0.4,0.0
216.6,8.2,,,0.4,0.0
216.7,8.301,,,0.7,0.0
216.8,8.5,,,0.3,0.0
216.9,8.397,,,0.5,0.0
217.0,7.299,,,0.4,0.0
217.1,6.898,,,0.9,0.0
217.2,6.301,,,0.3,0.0
217.3,6.498,,,0.4,0.0
217.4,5.601,,,0.3,0.0
217.5,5.802,,,0.3,0.0
217.6,6.501,,,0.4,0.0
217.7,6.901,,,0.3,0.0
217.8,7.399,,,0.4,0.0
217.9,7.198,,,0.4,0.0
218.0,6.501,,,0.4,0.0
218.1,6.7,,,0.4,0.0
218.2,6.801,,,0.5,0.0
218.3,7.205,,,0.5,0.0
218.4,9.01,,,0.5,0.0
218.5,12.702,,,0.4,0.0
218.6,13.6,,,0.3,0.0
218.7,13.598,,,0.3,0.0
218.8,12.993,,,0.4,0.0
218.9,10.397,,,0.3,0.0
219.0,9.301,,,0.3,0.0
219.1,9.708,,,0.3,0.0
219.2,12.704,,,0.2,0.0
219.3,14.2,,,0.3,0.0
219.4,14.302,,,0.2,0.0
219.5,14.902,,,0.2,0.0
219.6,15.497,,,0.2,0.0
219.7,14.499,,,0.2,0.0
219.8,14.198,,,0.3,0.0
219.9,13.5,,,0.3,0.0
