Depth,Lithology_values,Lithology
2585,,unknown
2586,90.0,limestone
2587,90.0,limestone
2588,90.0,limestone
2589,90.0,limestone
2590,90.0,limestone
2591,90.0,limestone
2592,90.0,limestone
2593,90.0,limestone
2594,90.0,limestone
2595,90.0,limestone
2596,90.0,limestone
2597,90.0,limestone
2598,90.0,limestone
2599,90.0,limestone
2600,90.0,limestone
2601,220.0,sandstone
2602,220.0,sandstone
2603,220.0,sandstone
2604,220.0,sandstone
2605,220.0,sandstone
2606,220.0,sandstone
2607,220.0,sandstone
2608,220.0,sandstone
2609,220.0,sandstone
2610,220.0,sandstone
2611,90.0,limestone
2612,90.0,limestone
2613,90.0,limestone
2614,90.0,limestone
2615,90.0,limestone
2616,90.0,limestone
2617,90.0,limestone
2618,90.0,limestone
2619,90.0,limestone
2620,90.0,limestone
2621,90.0,limestone
2622,90.0,limestone
2623,90.0,limestone
2624,90.0,limestone
2625,220.0,sandstone
2626,220.0,sandstone
2627,220.0,sandstone
2628,220.0,sandstone
2629,220.0,sandstone
2630,220.0,sandstone
2631,220.0,sandstone
2632,220.0,sandstone
2633,220.0,sandstone
2634,220.0,sandstone
2635,220.0,sandstone
2636,220.0,sandstone
2637,220.0,sandstone
2638,220.0,sandstone
2639,220.0,sandstone
2640,90.0,limestone
2641,90.0,limestone
2642,90.0,limestone
2643,90.0,limestone
2644,90.0,limestone
2645,90.0,limestone
2646,90.0,limestone
2647,90.0,limestone
2648,90.0,limestone
2649,90.0,limestone
2650,90.0,limestone
2651,90.0,limestone
2652,90.0,limestone
2653,90.0,limestone
2654,90.0,limestone
2655,90.0,limestone
2656,90.0,limestone
2657,220.0,sandstone
2658,220.0,sandstone
2659,220.0,sandstone
2660,220.0,sandstone
2661,220.0,sandstone
2662,220.0,sandstone
2663,220.0,sandstone
2664,220.0,sandstone
2665,220.0,sandstone
2666,220.0,sandstone
2667,220.0,sandstone
2668,220.0,sandstone
2669,220.0,sandstone
2670,220.0,sandstone
2671,220.0,sandstone
2672,220.0,sandstone
2673,220.0,sandstone
2674,220.0,sandstone
2675,220.0,sandstone
2676,220.0,sandstone
2677,220.0,sandstone
2678,220.0,sandstone
2679,220.0,sandstone
2680,220.0,sandstone
2681,90.0,limestone
2682,90.0,limestone
2683,90.0,limestone
2684,90.0,limestone
2685,220.0,sandstone
2686,220.0,sandstone
2687,220.0,sandstone
2688,220.0,sandstone
2689,220.0,sandstone
2690,220.0,sandstone
2691,220.0,sandstone
2692,220.0,sandstone
2693,220.0,sandstone
2694,220.0,sandstone
2695,220.0,sandstone
2696,220.0,sandstone
2697,220.0,sandstone
2698,220.0,sandstone
2699,220.0,sandstone
2700,220.0,sandstone
2701,220.0,sandstone
2702,220.0,sandstone
2703,220.0,sandstone
2704,220.0,sandstone
2705,220.0,sandstone
2706,220.0,sandstone
2707,220.0,sandstone
2708,220.0,sandstone
2709,220.0,sandstone
2710,220.0,sandstone
2711,220.0,sandstone
2712,220.0,sandstone
2713,220.0,sandstone
2714,220.0,sandstone
2715,220.0,sandstone
2716,220.0,sandstone
2717,220.0,sandstone
2718,220.0,sandstone
2719,220.0,sandstone
2720,220.0,sandstone
2721,220.0,sandstone
2722,220.0,sandstone
2723,220.0,sandstone
2724,220.0,sandstone
2725,220.0,sandstone
2726,220.0,sandstone
2727,220.0,sandstone
2728,220.0,sandstone
2729,220.0,sandstone
2730,220.0,sandstone
2731,220.0,sandstone
2732,220.0,sandstone
2733,220.0,sandstone
2734,220.0,sandstone
2735,220.0,sandstone
2736,220.0,sandstone
2737,90.0,limestone
2738,90.0,limestone
2739,220.0,sandstone
2740,220.0,sandstone
2741,220.0,sandstone
2742,220.0,sandstone
2743,220.0,sandstone
2744,220.0,sandstone
2745,220.0,sandstone
2746,220.0,sandstone
2747,220.0,sandstone
2748,220.0,sandstone
2749,220.0,sandstone
2750,220.0,sandstone
2751,220.0,sandstone
2752,220.0,sandstone
2753,220.0,sandstone
2754,220.0,sandstone
2755,220.0,sandstone
2756,220.0,sandstone
2757,90.0,limestone
2758,90.0,limestone
2759,90.0,limestone
2760,90.0,limestone
2761,90.0,limestone
2762,90.0,limestone
2763,90.0,limestone
2764,220.0,sandstone
2765,220.0,sandstone
2766,220.0,sandstone
2767,220.0,sandstone
2768,220.0,sandstone
2769,220.0,sandstone
2770,220.0,sandstone
2771,220.0,sandstone
2772,220.0,sandstone
2773,220.0,sandstone
2774,220.0,sandstone
2775,220.0,sandstone
2776,220.0,sandstone
2777,220.0,sandstone
2778,220.0,sandstone
2779,220.0,sandstone
2780,220.0,sandstone
2781,220.0,sandstone
2782,90.0,limestone
2783,90.0,limestone
2784,90.0,limestone
2785,90.0,limestone
2786,90.0,limestone
2787,90.0,limestone
2788,530.0,clay-shale
2789,530.0,clay-shale
2790,530.0,clay-shale
2791,530.0,clay-shale
2792,530.0,clay-shale
2793,530.0,clay-shale
2794,530.0,clay-shale
2795,530.0,clay-shale
2796,530.0,clay-shale
2797,530.0,clay-shale
2798,530.0,clay-shale
2799,530.0,clay-shale
2800,530.0,clay-shale
2801,530.0,clay-shale
2802,530.0,clay-shale
2803,530.0,clay-shale
2804,530.0,clay-shale
2805,530.0,clay-shale
2806,530.0,clay-shale
2807,530.0,clay-shale
2808,530.0,clay-shale
2809,530.0,clay-shale
2810,530.0,clay-shale
2811,530.0,clay-shale
2812,530.0,clay-shale
2813,530.0,clay-shale
2814,530.0,clay-shale
2815,530.0,clay-shale
