DEPTH,GR,NPHI,RHOB,RT,DT
265.176,57.1775016,,,3.67300009,
265.3284,54.9375991,,,3.48149991,
265.4808,59.5354003,,,3.52259993,
265.6332,63.1114006,,,3.26909995,
265.7856,64.6832962,,,3.3427999,
265.938,64.1331024,,,3.15149998,
266.0904,63.7402,,,3.31649994,
266.2428,64.2509994,,,3.01189994,
266.3952,63.7402,,,3.09369993,
266.5476,63.4650993,,,3.00929999,
266.7,62.0503997,,,3.02609992,
266.8524,58.7887001,,,2.90849995,
267.0048,56.037899,,,2.75359988,
267.1572,56.1557998,,,2.47449994,
267.3096,57.8456001,,,2.44300007,
267.462,57.1775016,,,2.4748001,
267.6144,46.8423004,,,2.58870005,
267.7668,40.0438995,,,1.82930004,
267.9192,37.4109992,,,2.1308,
268.0716,43.4235,,,2.81520009,
268.224,46.2921981,,,3.61849999,
268.3764,44.7596015,,,2.97589993,
268.5288,42.401699,,,3.01649999,
268.6812,37.2930984,,,2.57209992,
268.8336,37.5289001,,,2.40370011,
268.986,36.8608016,,,2.41000008,
269.1384,37.6468009,,,2.36310005,
269.2908,36.9786987,,,2.5597999,
269.4432,39.1007995,,,2.36400008,
269.5956,40.9477005,,,2.18169999,
269.748,41.7729988,,,1.95819997,
269.9004,41.4978981,,,2.06290006,
270.0528,41.380001,,,2.00939989,
270.2052,40.9869995,,,2.16519999,
270.3576,41.1049003,,,2.18249988,
270.51,41.4978981,,,2.16170001,
270.6624,42.9126014,,,2.04570007,
270.8148,43.4235,,,2.25419998,
270.9672,43.2663002,,,2.31220006,
271.1196,40.1225013,,,2.46869993,
271.272,36.0749015,,,2.50950002,
271.4244,33.3241004,,,2.4289999,
271.5768,33.2061996,,,2.8183,
271.7292,36.625,,,2.1933,
271.8816,39.1400985,,,2.10199999,
272.034,39.0222015,,,2.4203999,
272.1864,37.1752014,,,2.26769995,
272.3388,34.6601982,,,2.42650008,
272.4912,33.5992012,,,2.33119988,
272.6436,33.756401,,,2.40779995,
272.796,37.6861,,,2.65540003,
272.9484,40.7120018,,,2.72259998,
273.1008,43.1876983,,,2.90359997,
273.2532,42.7947006,,,2.68470001,
