Depth,Lithology_values,Lithology
1755,600.27,clay-shale
1756,600.27,clay-shale
1757,600.27,clay-shale
1758,600.27,clay-shale
1759,600.27,clay-shale
1760,600.27,clay-shale
1761,600.27,clay-shale
1762,600.27,clay-shale
1763,600.27,clay-shale
1764,600.27,clay-shale
1765,600.27,clay-shale
1766,600.27,clay-shale
1767,600.27,clay-shale
1768,600.27,clay-shale
1769,600.27,clay-shale
1770,600.27,clay-shale
1771,,unknown
1772,,unknown
1773,,unknown
1774,,unknown
1775,,unknown
1776,,unknown
1777,,unknown
1778,,unknown
1779,,unknown
1780,600.27,clay-shale
1781,,unknown
1782,,unknown
1783,,unknown
1784,,unknown
1785,600.27,clay-shale
1786,,unknown
1787,,unknown
1788,,unknown
1789,,unknown
1790,600.27,clay-shale
1791,,unknown
1792,,unknown
1793,,unknown
1794,,unknown
1795,600.27,clay-shale
1796,,unknown
1797,,unknown
1798,,unknown
1799,,unknown
1800,600,clay-shale
1801,,unknown
1802,,unknown
1803,,unknown
1804,,unknown
1805,,unknown
1806,,unknown
1807,,unknown
1808,,unknown
1809,600,clay-shale
1810,600,clay-shale
1811,600,clay-shale
1812,600,clay-shale
1813,600,clay-shale
1814,600,clay-shale
1815,600,clay-shale
1816,600,clay-shale
1817,600,clay-shale
1818,600,clay-shale
1819,600,clay-shale
1820,600,clay-shale
1821,600,clay-shale
1822,600,clay-shale
1823,600,clay-shale
1824,600,clay-shale
1825,600,clay-shale
1826,600,clay-shale
1827,600,clay-shale
1828,600,clay-shale
1829,600,clay-shale
1830,600,clay-shale
1831,600,clay-shale
1832,600,clay-shale
1833,600,clay-shale
1834,600,clay-shale
1835,600,clay-shale
1836,600,clay-shale
1837,600,clay-shale
1838,600,clay-shale
1839,600,clay-shale
1840,600,clay-shale
1841,600,clay-shale
1842,600,clay-shale
1843,600,clay-shale
1844,600,clay-shale
1845,600,clay-shale
1846,600,clay-shale
1847,600,clay-shale
1848,600,clay-shale
1849,600,clay-shale
1850,600,clay-shale
1851,,unknown
1852,,unknown
1853,,unknown
1854,,unknown
1855,,unknown
1856,,unknown
1857,,unknown
1858,,unknown
1859,,unknown
1860,600,clay-shale
1861,,unknown
1862,,unknown
1863,,unknown
1864,,unknown
1865,,unknown
1866,,unknown
1867,,unknown
1868,,unknown
1869,,unknown
1870,600,clay-shale
1871,600,clay-shale
1872,600,clay-shale
1873,600,clay-shale
1874,600,clay-shale
1875,600,clay-shale
1876,600,clay-shale
1877,600,clay-shale
1878,600,clay-shale
1879,600,clay-shale
1880,600,clay-shale
1881,,unknown
1882,,unknown
1883,,unknown
1884,,unknown
1885,,unknown
1886,,unknown
1887,,unknown
1888,,unknown
1889,,unknown
1890,,unknown
1891,600,clay-shale
1892,,unknown
1893,,unknown
1894,,unknown
1895,,unknown
1896,,unknown
1897,,unknown
1898,,unknown
1899,,unknown
1900,600,clay-shale
1901,,unknown
1902,,unknown
1903,,unknown
1904,,unknown
1905,600,clay-shale
1906,,unknown
1907,,unknown
1908,,unknown
1909,,unknown
1910,600,clay-shale
1911,,unknown
1912,,unknown
1913,,unknown
1914,,unknown
1915,,unknown
1916,,unknown
1917,,unknown
1918,,unknown
1919,,unknown
1920,600.19,clay-shale
1921,,unknown
1922,,unknown
1923,,unknown
1924,,unknown
1925,,unknown
1926,,unknown
1927,,unknown
1928,,unknown
1929,,unknown
1930,,unknown
1931,,unknown
1932,600.19,clay-shale
1933,,unknown
1934,,unknown
1935,,unknown
1936,,unknown
1937,,unknown
1938,,unknown
1939,,unknown
1940,600.19,clay-shale
1941,,unknown
1942,,unknown
1943,,unknown
1944,,unknown
1945,600.19,clay-shale
1946,,unknown
1947,,unknown
1948,,unknown
1949,,unknown
1950,600.19,clay-shale
1951,,unknown
1952,,unknown
1953,,unknown
1954,,unknown
1955,,unknown
1956,,unknown
1957,,unknown
1958,,unknown
1959,,unknown
1960,600.19,clay-shale
1961,,unknown
1962,,unknown
1963,,unknown
1964,,unknown
1965,,unknown
1966,,unknown
1967,,unknown
1968,,unknown
1969,,unknown
1970,600.19,clay-shale
1971,,unknown
1972,,unknown
1973,,unknown
1974,600.19,clay-shale
1975,,unknown
1976,,unknown
1977,,unknown
1978,,unknown
1979,600.19,clay-shale
1980,600.19,clay-shale
1981,,unknown
1982,,unknown
1983,,unknown
1984,600.19,clay-shale
1985,,unknown
1986,,unknown
1987,,unknown
1988,,unknown
1989,,unknown
1990,,unknown
1991,,unknown
1992,,unknown
1993,,unknown
1994,,unknown
1995,,unknown
1996,,unknown
1997,,unknown
1998,,unknown
1999,,unknown
2000,600,clay-shale
2001,,unknown
2002,,unknown
2003,,unknown
2004,,unknown
2005,,unknown
2006,,unknown
2007,,unknown
2008,,unknown
2009,,unknown
2010,,unknown
2011,600,clay-shale
2012,,unknown
2013,,unknown
2014,,unknown
2015,,unknown
2016,,unknown
2017,,unknown
2018,,unknown
2019,,unknown
2020,600,clay-shale
2021,,unknown
2022,,unknown
2023,,unknown
2024,,unknown
2025,,unknown
2026,,unknown
2027,,unknown
2028,,unknown
2029,,unknown
2030,,unknown
2031,,unknown
2032,,unknown
2033,,unknown
2034,,unknown
2035,,unknown
2036,,unknown
2037,,unknown
2038,,unknown
2039,600,clay-shale
2040,600,clay-shale
2041,,unknown
2042,,unknown
2043,,unknown
2044,600,clay-shale
2045,,unknown
2046,,unknown
2047,,unknown
2048,,unknown
2049,600,clay-shale
2050,,unknown
2051,600,clay-shale
2052,,unknown
2053,,unknown
2054,,unknown
2055,,unknown
2056,,unknown
2057,,unknown
2058,,unknown
2059,,unknown
2060,600,clay-shale
2061,,unknown
2062,,unknown
2063,,unknown
2064,,unknown
2065,,unknown
2066,,unknown
2067,,unknown
2068,,unknown
2069,,unknown
2070,,unknown
2071,,unknown
2072,,unknown
2073,,unknown
2074,,unknown
2075,,unknown
2076,,unknown
2077,,unknown
2078,,unknown
2079,,unknown
2080,600.27,clay-shale
2081,600.27,clay-shale
2082,,unknown
2083,,unknown
2084,,unknown
2085,,unknown
2086,600.27,clay-shale
2087,,unknown
2088,,unknown
2089,,unknown
2090,,unknown
2091,600.27,clay-shale
2092,,unknown
2093,,unknown
2094,,unknown
2095,,unknown
2096,,unknown
2097,,unknown
2098,,unknown
2099,,unknown
2100,600.27,clay-shale
2101,,unknown
2102,,unknown
2103,,unknown
2104,,unknown
2105,,unknown
2106,,unknown
2107,,unknown
2108,,unknown
2109,,unknown
2110,,unknown
2111,,unknown
2112,,unknown
2113,,unknown
2114,,unknown
2115,,unknown
2116,,unknown
2117,,unknown
2118,,unknown
2119,,unknown
2120,600.27,clay-shale
2121,,unknown
2122,,unknown
2123,,unknown
2124,,unknown
2125,,unknown
2126,,unknown
2127,,unknown
2128,,unknown
2129,,unknown
2130,,unknown
2131,,unknown
2132,600.27,clay-shale
2133,,unknown
2134,,unknown
2135,,unknown
2136,,unknown
2137,,unknown
2138,,unknown
2139,,unknown
2140,600.27,clay-shale
2141,,unknown
2142,,unknown
2143,,unknown
2144,,unknown
2145,,unknown
2146,,unknown
2147,,unknown
2148,,unknown
2149,,unknown
2150,600.27,clay-shale
2151,,unknown
2152,,unknown
2153,,unknown
2154,,unknown
2155,600.27,clay-shale
2156,,unknown
2157,,unknown
2158,,unknown
2159,,unknown
2160,600.27,clay-shale
2161,,unknown
2162,,unknown
2163,,unknown
2164,,unknown
2165,600.27,clay-shale
2166,,unknown
2167,,unknown
2168,,unknown
2169,,unknown
2170,,unknown
2171,,unknown
2172,600.27,clay-shale
2173,,unknown
2174,,unknown
2175,,unknown
2176,,unknown
2177,,unknown
2178,,unknown
2179,,unknown
2180,600,clay-shale
2181,,unknown
2182,,unknown
2183,,unknown
2184,,unknown
2185,,unknown
2186,,unknown
2187,,unknown
2188,,unknown
2189,,unknown
2190,,unknown
2191,,unknown
2192,,unknown
2193,,unknown
2194,,unknown
2195,,unknown
2196,,unknown
2197,,unknown
2198,,unknown
2199,,unknown
2200,600,clay-shale
2201,,unknown
2202,,unknown
2203,,unknown
2204,,unknown
2205,600,clay-shale
2206,,unknown
2207,,unknown
2208,,unknown
2209,,unknown
2210,600,clay-shale
2211,,unknown
2212,,unknown
2213,600,clay-shale
2214,,unknown
2215,,unknown
2216,,unknown
2217,,unknown
2218,,unknown
2219,,unknown
2220,600,clay-shale
2221,,unknown
2222,,unknown
2223,,unknown
2224,,unknown
2225,600,clay-shale
2226,,unknown
2227,,unknown
2228,,unknown
2229,,unknown
2230,600,clay-shale
2231,,unknown
2232,,unknown
2233,,unknown
2234,,unknown
2235,600,clay-shale
2236,,unknown
2237,,unknown
2238,,unknown
2239,,unknown
2240,600.19,clay-shale
2241,,unknown
2242,,unknown
2243,,unknown
2244,,unknown
2245,,unknown
2246,,unknown
2247,,unknown
2248,,unknown
2249,,unknown
2250,,unknown
2251,,unknown
2252,,unknown
2253,600.19,clay-shale
2254,,unknown
2255,,unknown
2256,,unknown
2257,,unknown
2258,,unknown
2259,,unknown
2260,600.19,clay-shale
2261,,unknown
2262,,unknown
2263,,unknown
2264,,unknown
2265,,unknown
2266,,unknown
2267,,unknown
2268,,unknown
2269,,unknown
2270,,unknown
2271,,unknown
2272,,unknown
2273,,unknown
2274,,unknown
2275,,unknown
2276,,unknown
2277,,unknown
2278,,unknown
2279,,unknown
2280,600.19,clay-shale
2281,,unknown
2282,,unknown
2283,,unknown
2284,,unknown
2285,,unknown
2286,,unknown
2287,,unknown
2288,,unknown
2289,,unknown
2290,,unknown
2291,,unknown
2292,600.19,clay-shale
2293,,unknown
2294,,unknown
2295,,unknown
2296,,unknown
2297,,unknown
2298,,unknown
