DEPTH,GR,NPHI,RHOB,RT,DT
421.2336,11.04,,,0.29,
421.386,11.04,,,0.29,
421.5384,11.04,,,0.29,
421.6908,11.04,,,0.29,
421.8432,11.04,,,0.29,
421.9956,11.04,,,0.29,
422.148,11.04,,,0.29,
422.3004,11.04,,,0.29,
422.4528,11.04,,,0.29,
422.6052,11.04,,,0.29,
422.7576,11.04,,,0.29,
422.91,11.04,,,0.29,
423.0624,11.04,,,0.29,
423.2148,11.04,,,0.29,
423.3672,11.04,,,0.29,
423.5196,11.04,,,0.29,
423.672,11.04,,,0.29,
423.8244,11.04,,,0.29,
423.9768,11.04,,,0.29,
424.1292,11.04,,,0.29,
424.2816,11.04,,,0.29,
424.434,11.04,,,0.29,
424.5864,11.04,,,0.29,
424.7388,11.04,,,0.29,
424.8912,11.04,,,0.29,
425.0436,11.04,,,0.29,
425.196,11.04,,,0.29,
425.3484,11.04,,,0.29,
425.5008,11.04,,,0.29,
425.6532,11.04,,,0.29,
425.8056,11.04,,,0.29,
425.958,11.04,,,0.29,
426.1104,11.04,,,0.29,
426.2628,11.04,,,0.29,
426.4152,11.04,,,0.29,
426.5676,11.04,,,0.29,
426.72,11.04,,,0.29,
426.8724,11.04,,,0.29,
427.0248,11.04,,,0.29,
427.1772,11.04,,,0.29,
427.3296,11.04,,,0.29,
427.482,11.04,,,0.29,
427.6344,11.04,,,0.29,
427.7868,11.04,,,0.29,
427.9392,11.04,,,0.29,
428.0916,11.04,,,0.29,
428.244,11.04,,,0.29,
428.3964,11.04,,,0.29,
428.5488,11.04,,,0.29,
428.70120000000003,11.04,,,0.29,
428.85360000000003,11.04,,,0.29,
429.00600000000003,11.04,,,0.29,
429.15840000000003,11.04,,,0.29,
429.31080000000003,11.04,,,0.29,
429.46320000000003,11.04,,,0.29,
429.61560000000003,11.04,,,0.29,
429.76800000000003,11.04,,,0.29,
429.92040000000003,11.04,,,0.29,
430.07280000000003,11.04,,,0.29,
430.22520000000003,11.04,,,0.29,
430.37760000000003,11.04,,,0.29,
430.53000000000003,11.04,,,0.29,
430.68240000000003,11.04,,,0.29,
430.83480000000003,11.04,,,0.29,
430.98720000000003,11.04,,,0.29,
431.13960000000003,11.04,,,0.29,
431.29200000000003,11.04,,,0.29,
431.44440000000003,11.04,,,0.29,
431.59680000000003,11.04,,,0.29,
431.74920000000003,11.04,,,0.29,
431.90160000000003,11.04,,,0.29,
432.05400000000003,11.04,,,0.29,
432.20640000000003,11.04,,,0.29,
432.35880000000003,11.04,,,0.29,
432.51120000000003,11.04,,,0.29,
432.66360000000003,11.04,,,0.29,
432.81600000000003,11.04,,,0.29,
432.96840000000003,11.04,,,0.29,
433.12080000000003,11.04,,,0.29,
433.27320000000003,11.04,,,0.29,
433.42560000000003,11.04,,,0.29,
433.57800000000003,11.04,,,0.29,
433.73040000000003,11.04,,,0.29,
433.88280000000003,11.04,,,0.29,
434.03520000000003,11.04,,,0.29,
434.18760000000003,11.04,,,0.29,
434.34000000000003,11.04,,,0.29,
434.49240000000003,11.04,,,0.29,
434.64480000000003,11.04,,,0.29,
434.79720000000003,11.04,,,0.29,
434.94960000000003,11.04,,,0.29,
435.10200000000003,11.04,,,0.29,
435.25440000000003,11.04,,,0.29,
435.40680000000003,11.04,,,0.29,
435.55920000000003,11.04,,,0.29,
435.71160000000003,11.04,,,0.29,
435.86400000000003,11.04,,,0.29,
436.01640000000003,11.04,,,0.29,
436.16880000000003,11.04,,,0.29,
436.32120000000003,11.04,,,0.29,
436.47360000000003,11.04,,,0.29,
436.62600000000003,11.04,,,0.29,
436.77840000000003,11.04,,,0.29,
436.93080000000003,11.04,,,0.29,
437.08320000000003,11.04,,,0.29,
437.23560000000003,11.04,,,0.29,
437.38800000000003,11.04,,,0.29,
437.54040000000003,11.04,,,0.29,
437.69280000000003,11.04,,,0.29,
437.84520000000003,11.04,,,0.29,
437.99760000000003,11.04,,,0.29,
438.15000000000003,11.04,,,0.29,
438.30240000000003,11.04,,,0.29,
438.45480000000003,11.04,,,0.29,
438.60720000000003,11.04,,,0.29,
438.75960000000003,11.04,,,0.29,
438.91200000000003,11.04,,,0.29,
439.06440000000003,11.04,,,0.29,
439.21680000000003,11.04,,,0.29,
439.36920000000003,11.04,,,0.29,
439.52160000000003,11.04,,,0.29,
439.67400000000004,11.04,,,0.29,
439.82640000000004,11.04,,,0.29,
439.97880000000004,11.04,,,0.29,
440.13120000000004,11.04,,,0.29,
440.28360000000004,11.04,,,0.29,
440.43600000000004,11.04,,,0.29,
440.58840000000004,11.04,,,0.29,
440.74080000000004,11.04,,,0.29,
440.89320000000004,11.04,,,0.29,
441.04560000000004,11.04,,,0.29,
441.19800000000004,11.04,,,0.29,
441.35040000000004,11.04,,,0.29,
441.50280000000004,11.04,,,0.29,
441.65520000000004,11.04,,,0.29,
441.80760000000004,11.04,,,0.29,
441.96000000000004,11.04,,,0.29,
442.11240000000004,11.04,,,0.29,
442.26480000000004,11.04,,,0.29,
442.41720000000004,11.04,,,0.29,
442.56960000000004,11.04,,,0.29,
442.72200000000004,11.04,,,0.29,
442.87440000000004,11.04,,,0.29,
443.02680000000004,11.04,,,0.29,
443.17920000000004,11.04,,,0.29,
443.33160000000004,11.04,,,0.29,
443.48400000000004,11.04,,,0.29,
443.63640000000004,11.04,,,0.29,
443.78880000000004,11.04,,,0.29,
443.94120000000004,11.04,,,0.29,
444.09360000000004,11.04,,,0.29,
444.24600000000004,11.04,,,0.29,
444.39840000000004,11.04,,,0.29,
444.55080000000004,11.04,,,0.29,
444.70320000000004,11.04,,,0.29,
444.85560000000004,11.04,,,0.29,
445.00800000000004,11.04,,,0.29,
445.16040000000004,11.04,,,0.29,
445.31280000000004,11.04,,,0.29,
445.46520000000004,11.04,,,0.29,
445.61760000000004,11.04,,,0.29,
445.77000000000004,11.04,,,0.29,
445.92240000000004,11.04,,,0.29,
446.07480000000004,11.04,,,0.29,
446.22720000000004,11.04,,,0.29,
446.37960000000004,11.04,,,0.29,
446.53200000000004,11.04,,,0.29,
446.68440000000004,11.04,,,0.29,
446.83680000000004,11.04,,,0.29,
446.98920000000004,11.04,,,0.29,
447.14160000000004,11.04,,,0.29,
447.29400000000004,11.04,,,0.29,
447.44640000000004,11.04,,,0.29,
447.59880000000004,11.04,,,0.29,
447.75120000000004,11.04,,,0.29,
447.90360000000004,11.04,,,0.29,
448.05600000000004,11.04,,,0.29,
448.20840000000004,11.04,,,0.29,
448.36080000000004,11.04,,,0.29,
448.51320000000004,11.04,,,0.29,
448.66560000000004,11.04,,,0.29,
448.81800000000004,11.04,,,0.29,
448.97040000000004,11.04,,,0.29,
449.12280000000004,11.04,,,0.29,
449.27520000000004,11.04,,,0.29,
449.42760000000004,11.04,,,0.29,
449.58000000000004,11.04,,,0.29,
449.73240000000004,11.04,,,0.29,
449.88480000000004,11.04,,,0.29,
450.03720000000004,11.04,,,0.29,
450.18960000000004,11.04,,,0.29,
450.34200000000004,11.04,,,0.29,
450.49440000000004,11.04,,,0.29,
450.64680000000004,11.04,,,0.29,
450.79920000000004,11.04,,,0.29,
450.95160000000004,11.04,,,0.29,
451.10400000000004,11.04,,,0.29,
451.25640000000004,11.04,,,0.29,
451.40880000000004,11.04,,,0.29,
451.56120000000004,11.04,,,0.29,
451.71360000000004,11.04,,,0.29,
451.86600000000004,11.04,,,0.29,
452.01840000000004,11.04,,,0.29,
452.17080000000004,11.04,,,0.29,
452.32320000000004,11.04,,,0.29,
452.47560000000004,11.04,,,0.29,
452.62800000000004,11.04,,,0.29,
452.78040000000004,11.04,,,0.29,
452.93280000000004,11.04,,,0.29,
453.08520000000004,11.04,,,0.29,
453.23760000000004,11.04,,,0.29,
453.39000000000004,11.04,,,0.29,
453.54240000000004,11.04,,,0.29,
453.69480000000004,11.04,,,0.29,
453.84720000000004,11.04,,,0.29,
453.99960000000004,11.04,,,0.29,
454.15200000000004,11.04,,,0.29,
454.30440000000004,11.04,,,0.29,
