Depth,Lithology_values,Lithology
3159,90,limestone
3160,90,limestone
3161,90,limestone
3162,90,limestone
3163,90,limestone
3164,90,limestone
3165,90,limestone
3166,90,limestone
3167,90,limestone
3168,90,limestone
3169,90,limestone
3170,90,limestone
3171,90,limestone
3172,90,limestone
3173,90,limestone
3174,90,limestone
3175,90,limestone
3176,90,limestone
3177,90,limestone
3178,90,limestone
3179,90,limestone
3180,90,limestone
3181,90,limestone
3182,90,limestone
3183,90,limestone
3184,90,limestone
3185,90,limestone
3186,90,limestone
3187,90,limestone
3188,90,limestone
3189,90,limestone
3190,90,limestone
3191,90,limestone
3192,90,limestone
3193,90,limestone
3194,90,limestone
3195,90,limestone
3196,90,limestone
3197,90,limestone
3198,90,limestone
3199,90,limestone
3200,90,limestone
3201,90,limestone
3202,90,limestone
3203,90,limestone
3204,90,limestone
3205,90,limestone
3206,90,limestone
3207,90,limestone
3208,90,limestone
3209,90,limestone
3210,90,limestone
3211,90,limestone
3212,90,limestone
3213,90,limestone
3214,90,limestone
3215,90,limestone
3216,90,limestone
3217,90,limestone
3218,90,limestone
3219,90,limestone
3220,90,limestone
3221,90,limestone
3222,90,limestone
3223,90,limestone
3224,90,limestone
3225,90,limestone
3226,90,limestone
3227,90,limestone
3228,90,limestone
3229,90,limestone
3230,90,limestone
3231,90,limestone
3232,90,limestone
3233,90,limestone
3234,90,limestone
3235,90,limestone
3236,90,limestone
3237,90,limestone
3238,90,limestone
3239,90,limestone
3240,90,limestone
3241,90,limestone
3242,90,limestone
3243,90,limestone
3244,90,limestone
3245,90,limestone
3246,220,sandstone
3247,220,sandstone
3248,220,sandstone
3249,220,sandstone
3250,220,sandstone
3251,220,sandstone
3252,220,sandstone
3253,220,sandstone
3254,220,sandstone
3255,220,sandstone
3256,220,sandstone
3257,220,sandstone
3258,220,sandstone
3259,220,sandstone
3260,220,sandstone
3261,220,sandstone
3262,220,sandstone
3263,220,sandstone
3264,220,sandstone
3265,220,sandstone
3266,220,sandstone
3267,220,sandstone
3268,220,sandstone
3269,220,sandstone
3270,220,sandstone
3271,220,sandstone
3272,220,sandstone
3273,220,sandstone
3274,220,sandstone
3275,220,sandstone
3276,220,sandstone
3277,220,sandstone
3278,220,sandstone
3279,220,sandstone
3280,220,sandstone
3281,220,sandstone
3282,220,sandstone
3283,220,sandstone
3284,220,sandstone
3285,220,sandstone
3286,220,sandstone
3287,220,sandstone
3288,220,sandstone
3289,220,sandstone
3290,220,sandstone
3291,220,sandstone
3292,220,sandstone
3293,220,sandstone
3294,220,sandstone
3295,220,sandstone
3296,220,sandstone
3297,220,sandstone
3298,220,sandstone
3299,220,sandstone
3300,220,sandstone
3301,220,sandstone
3302,220,sandstone
3303,220,sandstone
3304,220,sandstone
3305,220,sandstone
3306,220,sandstone
3307,220,sandstone
3308,220,sandstone
3309,220,sandstone
3310,220,sandstone
3311,220,sandstone
3312,220,sandstone
3313,220,sandstone
3314,220,sandstone
3315,220,sandstone
3316,220,sandstone
3317,220,sandstone
3318,220,sandstone
3319,220,sandstone
3320,220,sandstone
3321,220,sandstone
3322,220,sandstone
3323,220,sandstone
3324,220,sandstone
3325,220,sandstone
3326,220,sandstone
3327,220,sandstone
3328,220,sandstone
3329,220,sandstone
3330,220,sandstone
3331,220,sandstone
3332,220,sandstone
3333,220,sandstone
3334,220,sandstone
3335,220,sandstone
3336,220,sandstone
3337,220,sandstone
3338,220,sandstone
3339,220,sandstone
3340,220,sandstone
3341,220,sandstone
3342,220,sandstone
3343,220,sandstone
3344,220,sandstone
3345,220,sandstone
3346,220,sandstone
3347,220,sandstone
3348,220,sandstone
3349,220,sandstone
3350,220,sandstone
3351,220,sandstone
3352,220,sandstone
3353,220,sandstone
3354,220,sandstone
3355,220,sandstone
3356,220,sandstone
3357,220,sandstone
3358,220,sandstone
3359,220,sandstone
3360,220,sandstone
3361,220,sandstone
3362,220,sandstone
3363,220,sandstone
3364,220,sandstone
3365,220,sandstone
3366,220,sandstone
3367,220,sandstone
3368,220,sandstone
3369,220,sandstone
3370,220,sandstone
3371,220,sandstone
3372,220,sandstone
3373,220,sandstone
3374,220,sandstone
3375,220,sandstone
3376,220,sandstone
3377,220,sandstone
3378,220,sandstone
3379,220,sandstone
3380,220,sandstone
3381,220,sandstone
3382,220,sandstone
3383,220,sandstone
3384,220,sandstone
3385,220,sandstone
3386,220,sandstone
3387,220,sandstone
3388,220,sandstone
3389,220,sandstone
3390,220,sandstone
3391,220,sandstone
3392,220,sandstone
3393,220,sandstone
3394,220,sandstone
3395,220,sandstone
3396,220,sandstone
3397,220,sandstone
3398,220,sandstone
3399,220,sandstone
3400,220,sandstone
3401,220,sandstone
3402,220,sandstone
3403,220,sandstone
3404,220,sandstone
3405,220,sandstone
3406,220,sandstone
3407,220,sandstone
3408,220,sandstone
3409,220,sandstone
3410,220,sandstone
3411,220,sandstone
3412,220,sandstone
3413,220,sandstone
3414,220,sandstone
3415,220,sandstone
3416,220,sandstone
3417,220,sandstone
3418,220,sandstone
3419,220,sandstone
3420,220,sandstone
3421,220,sandstone
3422,220,sandstone
3423,220,sandstone
3424,220,sandstone
3425,220,sandstone
3426,220,sandstone
3427,220,sandstone
3428,220,sandstone
3429,220,sandstone
3430,220,sandstone
3431,220,sandstone
3432,220,sandstone
3433,220,sandstone
3434,180,silt
3435,180,silt
3436,220,sandstone
3437,220,sandstone
3438,220,sandstone
3439,220,sandstone
3440,220,sandstone
3441,180,silt
3442,220,sandstone
3443,220,sandstone
3444,220,sandstone
3445,220,sandstone
3446,220,sandstone
3447,220,sandstone
3448,220,sandstone
3449,220,sandstone
3450,220,sandstone
3451,220,sandstone
3452,220,sandstone
3453,220,sandstone
3454,220,sandstone
3455,220,sandstone
3456,220,sandstone
3457,220,sandstone
3458,220,sandstone
3459,220,sandstone
3460,220,sandstone
3461,220,sandstone
3462,220,sandstone
3463,220,sandstone
3464,220,sandstone
3465,220,sandstone
