DEPTH,GR,NPHI,RHOB,RT,DT
200.2536,1.0,,,,
200.406,1.0,,,,
200.5584,1.0,,,,
200.7108,1.0,,,,
200.8632,1.0,,,,
201.0156,1.0,,,,
201.168,1.0,,,,
201.3204,1.0,,,,
201.4728,1.0,,,,
201.6252,1.0,,,,
201.7776,1.0,,,,
201.93,1.0,,,,
202.0824,1.0,,,,
202.2348,1.0,,,,
202.3872,1.0,,,,
202.5396,1.0,,,,
202.692,1.0,,,,
202.8444,1.0,,,,
202.9968,1.0,,,,
203.1492,1.0,,,,
203.3016,1.0,,,,
203.454,1.0,,,,
203.6064,1.0,,,,
203.7588,1.0,,,,
203.9112,1.0,,,,
204.0636,1.0,,,,
204.216,1.0,,,,
204.3684,1.0,,,,
204.5208,1.0,,,,
204.6732,1.0,,,,
204.8256,1.0,,,,
204.978,1.0,,,,
205.1304,1.0,,,,
205.2828,1.0,,,,
205.4352,1.0,,,,
205.5876,1.0,,,,
205.74,1.0,,,,
205.8924,1.0,,,,
206.0448,1.0,,,,
206.1972,1.0,,,,
206.3496,1.0,,,,
206.502,1.0,,,,
206.6544,1.0,,,,
206.8068,1.0,,,,
206.9592,1.0,,,,
207.1116,1.0,,,,
207.264,1.0,,,,
207.4164,1.0,,,,
207.5688,1.0,,,,
207.7212,1.0,,,,
207.8736,1.0,,,,
208.026,1.0,,,,
208.1784,1.0,,,,
208.3308,1.0,,,,
208.4832,1.0,,,,
208.6356,1.0,,,,
208.788,1.0,,,,
208.9404,1.0,,,,
209.0928,1.0,,,,
209.2452,1.0,,,,
209.3976,1.0,,,,
209.55,1.0,,,,
209.7024,1.0,,,,
209.8548,1.0,,,,
210.0072,1.0,,,,
210.1596,1.0,,,,
210.312,1.0,,,,
210.4644,1.0,,,,
210.6168,1.0,,,,
210.7692,1.0,,,,
210.9216,1.0,,,,
211.074,1.0,,,,
211.2264,1.0,,,,
211.3788,1.0,,,,
211.5312,1.0,,,,
211.6836,1.0,,,,
211.836,1.0,,,,
211.9884,1.0,,,,
212.1408,1.0,,,,
212.2932,1.0,,,,
212.4456,1.0,,,,
212.598,1.0,,,,
212.7504,1.0,,,,
212.9028,1.0,,,,
213.0552,1.0,,,,
213.2076,1.0,,,,
213.36,1.0,,,,
213.5124,1.0,,,,
213.6648,1.0,,,,
213.8172,1.0,,,,
213.9696,1.0,,,,
214.122,1.0,,,,
214.2744,1.0,,,,
214.42680000000001,1.0,,,,
214.57920000000001,1.0,,,,
214.73160000000001,1.0,,,,
214.88400000000001,1.0,,,,
215.03640000000001,1.0,,,,
215.18880000000001,1.0,,,,
215.34120000000001,1.0,,,,
215.49360000000001,1.0,,,,
215.64600000000002,1.0,,,,
215.79840000000002,1.0,,,,
215.95080000000002,1.0,,,,
216.10320000000002,1.0,,,,
216.25560000000002,1.0,,,,
216.40800000000002,1.0,,,,
216.56040000000002,1.0,,,,
216.71280000000002,1.0,,,,
216.86520000000002,1.0,,,,
217.01760000000002,1.0,,,,
217.17000000000002,1.0,,,,
217.32240000000002,1.0,,,,
217.47480000000002,1.0,,,,
217.62720000000002,1.0,,,,
217.77960000000002,1.0,,,,
217.93200000000002,1.0,,,,
218.08440000000002,1.0,,,,
218.23680000000002,1.0,,,,
218.38920000000002,1.0,,,,
218.54160000000002,1.0,,,,
218.69400000000002,1.0,,,,
218.84640000000002,1.0,,,,
218.99880000000002,1.0,,,,
219.15120000000002,1.0,,,,
219.30360000000002,1.0,,,,
219.45600000000002,1.0,,,,
219.60840000000002,1.0,,,,
219.76080000000002,1.0,,,,
219.91320000000002,1.0,,,,
220.06560000000002,1.0,,,,
220.21800000000002,1.0,,,,
220.37040000000002,1.0,,,,
220.52280000000002,1.0,,,,
220.67520000000002,1.0,,,,
220.82760000000002,1.0,,,,
220.98000000000002,1.0,,,,
221.13240000000002,1.0,,,,
221.28480000000002,1.0,,,,
221.43720000000002,1.0,,,,
221.58960000000002,1.0,,,,
221.74200000000002,1.0,,,,
221.89440000000002,1.0,,,,
222.04680000000002,1.0,,,,
222.19920000000002,1.0,,,,
222.35160000000002,1.0,,,,
222.50400000000002,1.0,,,,
222.65640000000002,1.0,,,,
222.80880000000002,1.0,,,,
222.96120000000002,1.0,,,,
223.11360000000002,1.0,,,,
223.26600000000002,1.0,,,,
223.41840000000002,1.0,,,,
